edad,estado_civil,tipo_de_vivienda,estrato,nivel_academico,profesion,tipo_contrato,antiguedad_trabajo,cargo,ingresos,gastos,activos,pasivos,origen_fondos,declara_renta,referencias_familiares,es_pep,responsabilidad_fiscal_exterior,tipo_credito,monto_solicitado,destino_credito,scoring_puntaje,favorable,cuotas_pagar
26,Viudo,Familiar,1,Pregrado,2145,Contrato temporal,1,Asistencial,2000000,2300000,4500000,10800000,Salario,No,2,No,No,Crédito de consumo,6000000,Viajes y turismo,120,No,12
28,Soltero,Arrendada,2,Bachiller,2145,Contrato de aprendizaje,0.6,Técnico,1300000,1700000,2800000,9700000,Salario,No,1,No,No,Crédito de consumo,3900000,Viajes y turismo,110,No,9
20,Divorciado,Familiar,3,Educación básica,2145,Contrato por obra o labor,2,Asistencial,1000000,1600000,2000000,8500000,Salario,No,2,No,No,Crédito de consumo,3000000,Viajes y turismo,175,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2000000,2500000,10000000,Salario,No,1,No,No,Crédito de consumo,4000000,Viajes y turismo,150,No,6
21,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1200000,1800000,3000000,9000000,Salario,No,2,No,No,Crédito de consumo,3500000,Viajes y turismo,170,No,9
22,Soltero,Arrendada,3,Pregrado,2145,Contrato por obra o labor,1,Técnico,1800000,2200000,4000000,11000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,130,No,12
25,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,2,Asistencial,2000000,2400000,2800000,9500000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,140,No,10
27,Soltero,Arrendada,1,Pregrado,2145,Contrato de aprendizaje,0.6,Técnico,1600000,2000000,5000000,12000000,Salario,No,1,No,No,Crédito de consumo,5500000,Viajes y turismo,180,No,8
30,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,1,Asistencial,1700000,2100000,2200000,10500000,Salario,No,1,No,No,Crédito de consumo,3200000,Viajes y turismo,160,No,7
23,Soltero,Arrendada,2,Educación básica,2145,Contrato por obra o labor,2,Técnico,1400000,1800000,3500000,8800000,Salario,No,2,No,No,Crédito de consumo,3700000,Viajes y turismo,190,No,6
26,Viudo,Familiar,1,Pregrado,2145,Contrato temporal,1,Asistencial,1900000,2300000,4500000,10800000,Salario,No,2,No,No,Crédito de consumo,6000000,Viajes y turismo,120,No,12
28,Soltero,Arrendada,2,Bachiller,2145,Contrato de aprendizaje,0.6,Técnico,1300000,1700000,2800000,9700000,Salario,No,1,No,No,Crédito de consumo,3900000,Viajes y turismo,110,No,9
20,Divorciado,Familiar,3,Educación básica,2145,Contrato por obra o labor,2,Asistencial,1000000,1500000,2000000,8500000,Salario,No,2,No,No,Crédito de consumo,3000000,Viajes y turismo,175,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,3000000,10000000,Salario,No,1,No,No,Crédito de consumo,4000000,Viajes y turismo,160,No,9
21,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1900000,2500000,9000000,Salario,No,2,No,No,Crédito de consumo,3500000,Viajes y turismo,150,No,6
22,Soltero,Arrendada,3,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,4000000,11000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,140,No,12
25,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,2,Asistencial,2000000,2500000,2800000,9500000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,10
27,Soltero,Arrendada,1,Pregrado,2145,Contrato de aprendizaje,0.6,Técnico,1600000,2000000,5000000,12000000,Salario,No,1,No,No,Crédito de consumo,5500000,Viajes y turismo,180,No,8
30,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,1,Asistencial,1700000,2100000,2200000,10500000,Salario,No,1,No,No,Crédito de consumo,3200000,Viajes y turismo,120,No,7
23,Soltero,Arrendada,2,Educación básica,2145,Contrato por obra o labor,2,Técnico,1400000,1800000,3500000,8800000,Salario,No,2,No,No,Crédito de consumo,3700000,Viajes y turismo,190,No,6
26,Viudo,Familiar,1,Pregrado,2145,Contrato temporal,1,Asistencial,1900000,2300000,4500000,10800000,Salario,No,2,No,No,Crédito de consumo,6000000,Viajes y turismo,110,No,12
28,Soltero,Arrendada,2,Bachiller,2145,Contrato de aprendizaje,0.6,Técnico,1300000,1700000,2800000,9700000,Salario,No,1,No,No,Crédito de consumo,3900000,Viajes y turismo,175,No,9
20,Divorciado,Familiar,3,Educación básica,2145,Contrato por obra o labor,2,Asistencial,1000000,1500000,2000000,8500000,Salario,No,2,No,No,Crédito de consumo,3000000,Viajes y turismo,195,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,3000000,10000000,Salario,No,1,No,No,Crédito de consumo,4000000,Viajes y turismo,160,No,9
21,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1900000,2500000,9000000,Salario,No,2,No,No,Crédito de consumo,3500000,Viajes y turismo,150,No,6
22,Soltero,Arrendada,3,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,4000000,11000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,140,No,12
25,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,2,Asistencial,2000000,2500000,2800000,9500000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,10
27,Soltero,Arrendada,1,Pregrado,2145,Contrato de aprendizaje,0.6,Técnico,1600000,2000000,5000000,12000000,Salario,No,1,No,No,Crédito de consumo,5500000,Viajes y turismo,180,No,8
30,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,1,Asistencial,1700000,2100000,2200000,10500000,Salario,No,1,No,No,Crédito de consumo,3200000,Viajes y turismo,120,No,7
23,Soltero,Arrendada,2,Educación básica,2145,Contrato por obra o labor,2,Técnico,1400000,1800000,3500000,8800000,Salario,No,2,No,No,Crédito de consumo,3700000,Viajes y turismo,190,No,6
26,Viudo,Familiar,1,Pregrado,2145,Contrato temporal,1,Asistencial,1900000,2300000,4500000,10800000,Salario,No,2,No,No,Crédito de consumo,6000000,Viajes y turismo,110,No,12
28,Soltero,Arrendada,2,Bachiller,2145,Contrato de aprendizaje,0.6,Técnico,1300000,1700000,2800000,9700000,Salario,No,1,No,No,Crédito de consumo,3900000,Viajes y turismo,175,No,9
20,Divorciado,Familiar,3,Educación básica,2145,Contrato por obra o labor,2,Asistencial,1000000,1500000,2000000,8500000,Salario,No,2,No,No,Crédito de consumo,3000000,Viajes y turismo,195,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,3000000,10000000,Salario,No,1,No,No,Crédito de consumo,4000000,Viajes y turismo,160,No,9
21,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1900000,2500000,9000000,Salario,No,2,No,No,Crédito de consumo,3500000,Viajes y turismo,150,No,6
22,Soltero,Arrendada,3,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,4000000,11000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,140,No,12
25,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,2,Asistencial,2000000,2500000,2800000,9500000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,10
27,Soltero,Arrendada,1,Pregrado,2145,Contrato de aprendizaje,0.6,Técnico,1600000,2000000,5000000,12000000,Salario,No,1,No,No,Crédito de consumo,5500000,Viajes y turismo,180,No,8
30,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,1,Asistencial,1700000,2100000,2200000,10500000,Salario,No,1,No,No,Crédito de consumo,3200000,Viajes y turismo,120,No,7
23,Soltero,Arrendada,2,Educación básica,2145,Contrato por obra o labor,2,Técnico,1400000,1800000,3500000,8800000,Salario,No,2,No,No,Crédito de consumo,3700000,Viajes y turismo,190,No,6
26,Viudo,Familiar,1,Pregrado,2145,Contrato temporal,1,Asistencial,1900000,2300000,4500000,10800000,Salario,No,2,No,No,Crédito de consumo,6000000,Viajes y turismo,110,No,12
28,Soltero,Arrendada,2,Bachiller,2145,Contrato de aprendizaje,0.6,Técnico,1300000,1700000,2800000,9700000,Salario,No,1,No,No,Crédito de consumo,3900000,Viajes y turismo,175,No,9
20,Divorciado,Familiar,3,Educación básica,2145,Contrato por obra o labor,2,Asistencial,1000000,1500000,2000000,8500000,Salario,No,2,No,No,Crédito de consumo,3000000,Viajes y turismo,195,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,3000000,10000000,Salario,No,1,No,No,Crédito de consumo,4000000,Viajes y turismo,160,No,9
21,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1900000,2500000,9000000,Salario,No,2,No,No,Crédito de consumo,3500000,Viajes y turismo,150,No,6
22,Soltero,Arrendada,3,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,4000000,11000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,140,No,12
25,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,2,Asistencial,2000000,2500000,2800000,9500000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,10
27,Soltero,Arrendada,1,Pregrado,2145,Contrato de aprendizaje,0.6,Técnico,1600000,2000000,5000000,12000000,Salario,No,1,No,No,Crédito de consumo,5500000,Viajes y turismo,180,No,8
30,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,1,Asistencial,1700000,2100000,2200000,10500000,Salario,No,1,No,No,Crédito de consumo,3200000,Viajes y turismo,120,No,7
23,Soltero,Arrendada,2,Educación básica,2145,Contrato por obra o labor,2,Técnico,1400000,1800000,3500000,8800000,Salario,No,2,No,No,Crédito de consumo,3700000,Viajes y turismo,190,No,6
26,Viudo,Familiar,1,Pregrado,2145,Contrato temporal,1,Asistencial,1900000,2300000,4500000,10800000,Salario,No,2,No,No,Crédito de consumo,6000000,Viajes y turismo,110,No,12
28,Soltero,Arrendada,2,Bachiller,2145,Contrato de aprendizaje,0.6,Técnico,1300000,1700000,2800000,9700000,Salario,No,1,No,No,Crédito de consumo,3900000,Viajes y turismo,175,No,9
20,Divorciado,Familiar,3,Educación básica,2145,Contrato por obra o labor,2,Asistencial,1000000,1500000,2000000,8500000,Salario,No,2,No,No,Crédito de consumo,3000000,Viajes y turismo,195,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,3000000,10000000,Salario,No,1,No,No,Crédito de consumo,4000000,Viajes y turismo,160,No,9
20,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1900000,2500000,9000000,Salario,No,2,No,No,Crédito de consumo,3500000,Viajes y turismo,140,No,6
22,Soltero,Arrendada,3,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,4000000,11000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,150,No,12
24,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,2,Asistencial,2000000,2500000,2800000,9500000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,10
26,Soltero,Arrendada,1,Pregrado,2145,Contrato de aprendizaje,0.6,Técnico,1600000,2000000,5000000,12000000,Salario,No,1,No,No,Crédito de consumo,5500000,Viajes y turismo,120,No,8
27,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,1,Asistencial,1700000,2100000,2200000,10500000,Salario,No,1,No,No,Crédito de consumo,3200000,Viajes y turismo,110,No,7
23,Soltero,Arrendada,2,Educación básica,2145,Contrato por obra o labor,2,Técnico,1400000,1800000,3500000,8800000,Salario,No,2,No,No,Crédito de consumo,3700000,Viajes y turismo,160,No,6
29,Viudo,Familiar,1,Pregrado,2145,Contrato temporal,1,Asistencial,1900000,2300000,4500000,10800000,Salario,No,2,No,No,Crédito de consumo,6000000,Viajes y turismo,100,No,12
30,Soltero,Arrendada,2,Bachiller,2145,Contrato de aprendizaje,0.6,Técnico,1300000,1700000,2800000,9700000,Salario,No,1,No,No,Crédito de consumo,3900000,Viajes y turismo,140,No,9
25,Divorciado,Familiar,3,Educación básica,2145,Contrato por obra o labor,2,Asistencial,1000000,1500000,2000000,8500000,Salario,No,2,No,No,Crédito de consumo,3000000,Viajes y turismo,150,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,3000000,10000000,Salario,No,1,No,No,Crédito de consumo,4000000,Viajes y turismo,160,No,9
20,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1900000,2500000,9000000,Salario,No,2,No,No,Crédito de consumo,3500000,Viajes y turismo,140,No,6
22,Soltero,Arrendada,3,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,4000000,11000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,150,No,12
24,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,2,Asistencial,2000000,2500000,2800000,9500000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,10
26,Soltero,Arrendada,1,Pregrado,2145,Contrato de aprendizaje,0.6,Técnico,1600000,2000000,5000000,12000000,Salario,No,1,No,No,Crédito de consumo,5500000,Viajes y turismo,120,No,8
27,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,1,Asistencial,1700000,2100000,2200000,10500000,Salario,No,1,No,No,Crédito de consumo,3200000,Viajes y turismo,110,No,7
23,Soltero,Arrendada,2,Educación básica,2145,Contrato por obra o labor,2,Técnico,1400000,1800000,3500000,8800000,Salario,No,2,No,No,Crédito de consumo,3700000,Viajes y turismo,160,No,6
29,Viudo,Familiar,1,Pregrado,2145,Contrato temporal,1,Asistencial,1900000,2300000,4500000,10800000,Salario,No,2,No,No,Crédito de consumo,6000000,Viajes y turismo,100,No,12
30,Soltero,Arrendada,2,Bachiller,2145,Contrato de aprendizaje,0.6,Técnico,1300000,1700000,2800000,9700000,Salario,No,1,No,No,Crédito de consumo,3900000,Viajes y turismo,140,No,9
25,Divorciado,Familiar,3,Educación básica,2145,Contrato por obra o labor,2,Asistencial,1000000,1500000,2000000,8500000,Salario,No,2,No,No,Crédito de consumo,3000000,Viajes y turismo,150,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,2500000,10000000,Salario,No,1,No,No,Crédito de consumo,3500000,Viajes y turismo,150,No,9
20,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,3000000,11000000,Salario,No,2,No,No,Crédito de consumo,4000000,Viajes y turismo,140,No,8
22,Soltero,Arrendada,3,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,3500000,9000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,160,No,10
23,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,2,Asistencial,2000000,2500000,4000000,12000000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,7
25,Soltero,Arrendada,2,Educación básica,2145,Contrato de aprendizaje,0.6,Técnico,1400000,2000000,2800000,10500000,Salario,No,1,No,No,Crédito de consumo,3800000,Viajes y turismo,150,No,6
26,Divorciado,Familiar,3,Pregrado,2145,Contrato por obra o labor,1,Asistencial,1800000,2400000,3200000,11500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,120,No,9
28,Soltero,Arrendada,1,Bachiller,2145,Contrato temporal,1,Técnico,1600000,2200000,2700000,10000000,Salario,No,1,No,No,Crédito de consumo,3700000,Viajes y turismo,140,No,8
29,Viudo,Familiar,2,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,2500000,9500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,110,No,7
21,Soltero,Arrendada,2,Pregrado,2145,Contrato por obra o labor,1,Técnico,1500000,2100000,3000000,9000000,Salario,No,1,No,No,Crédito de consumo,4600000,Viajes y turismo,140,No,6
30,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,2,Asistencial,1900000,2400000,3800000,11000000,Salario,No,2,No,No,Crédito de consumo,5000000,Viajes y turismo,150,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,2500000,10000000,Salario,No,1,No,No,Crédito de consumo,3500000,Viajes y turismo,150,No,9
20,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,3000000,11000000,Salario,No,2,No,No,Crédito de consumo,4000000,Viajes y turismo,140,No,8
21,Soltero,Arrendada,2,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,3500000,9000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,160,No,10
22,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,1,Asistencial,2000000,2500000,4000000,12000000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,7
23,Soltero,Arrendada,3,Educación básica,2145,Contrato de aprendizaje,0.6,Técnico,1400000,2000000,2800000,10500000,Salario,No,1,No,No,Crédito de consumo,3800000,Viajes y turismo,150,No,6
24,Divorciado,Familiar,2,Pregrado,2145,Contrato por obra o labor,1,Asistencial,1800000,2400000,3200000,11500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,120,No,9
25,Soltero,Arrendada,1,Bachiller,2145,Contrato temporal,1,Técnico,1600000,2200000,2700000,10000000,Salario,No,1,No,No,Crédito de consumo,3700000,Viajes y turismo,140,No,8
26,Viudo,Familiar,2,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,2500000,9500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,110,No,7
27,Soltero,Arrendada,2,Pregrado,2145,Contrato por obra o labor,1,Técnico,1500000,2100000,3000000,9000000,Salario,No,1,No,No,Crédito de consumo,4600000,Viajes y turismo,140,No,6
28,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,2,Asistencial,1900000,2400000,3800000,11000000,Salario,No,2,No,No,Crédito de consumo,5000000,Viajes y turismo,150,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,2500000,10000000,Salario,No,1,No,No,Crédito de consumo,3500000,Viajes y turismo,150,No,9
20,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,3000000,11000000,Salario,No,2,No,No,Crédito de consumo,4000000,Viajes y turismo,140,No,8
21,Soltero,Arrendada,2,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,3500000,9000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,160,No,10
22,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,1,Asistencial,2000000,2500000,4000000,12000000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,7
23,Soltero,Arrendada,3,Educación básica,2145,Contrato de aprendizaje,0.6,Técnico,1400000,2000000,2800000,10500000,Salario,No,1,No,No,Crédito de consumo,3800000,Viajes y turismo,150,No,6
24,Divorciado,Familiar,2,Pregrado,2145,Contrato por obra o labor,1,Asistencial,1800000,2400000,3200000,11500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,120,No,9
25,Soltero,Arrendada,1,Bachiller,2145,Contrato temporal,1,Técnico,1600000,2200000,2700000,10000000,Salario,No,1,No,No,Crédito de consumo,3700000,Viajes y turismo,140,No,8
26,Viudo,Familiar,2,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,2500000,9500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,110,No,7
27,Soltero,Arrendada,2,Pregrado,2145,Contrato por obra o labor,1,Técnico,1500000,2100000,3000000,9000000,Salario,No,1,No,No,Crédito de consumo,4600000,Viajes y turismo,140,No,6
28,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,2,Asistencial,1900000,2400000,3800000,11000000,Salario,No,2,No,No,Crédito de consumo,5000000,Viajes y turismo,150,No,10
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,2500000,10000000,Salario,No,1,No,No,Crédito de consumo,3500000,Viajes y turismo,150,No,9
20,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,3000000,11000000,Salario,No,2,No,No,Crédito de consumo,4000000,Viajes y turismo,140,No,8
21,Soltero,Arrendada,2,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,3500000,9000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,160,No,10
22,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,1,Asistencial,2000000,2500000,4000000,12000000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,7
23,Soltero,Arrendada,3,Educación básica,2145,Contrato de aprendizaje,0.6,Técnico,1400000,2000000,2800000,10500000,Salario,No,1,No,No,Crédito de consumo,3800000,Viajes y turismo,150,No,6
24,Divorciado,Familiar,2,Pregrado,2145,Contrato por obra o labor,1,Asistencial,1800000,2400000,3200000,11500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,120,No,9
25,Soltero,Arrendada,1,Bachiller,2145,Contrato temporal,1,Técnico,1600000,2200000,2700000,10000000,Salario,No,1,No,No,Crédito de consumo,3700000,Viajes y turismo,140,No,8
26,Viudo,Familiar,2,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,2500000,9500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,110,No,7
27,Soltero,Arrendada,2,Pregrado,2145,Contrato por obra o labor,1,Técnico,1500000,2100000,3000000,9000000,Salario,No,1,No,No,Crédito de consumo,4600000,Viajes y turismo,140,No,6
28,Divorciado,Familiar,3,Bachiller,2145,Contrato temporal,2,Asistencial,1900000,2400000,3800000,11000000,Salario,No,2,No,No,Crédito de consumo,5000000,Viajes y turismo,150,No,10
29,Viudo,Arrendada,2,Bachiller,2145,Contrato por obra o labor,1,Técnico,1600000,2300000,3200000,10800000,Salario,No,1,No,No,Crédito de consumo,3900000,Viajes y turismo,135,No,8
19,Soltero,Arrendada,2,Bachiller,2145,Contrato temporal,1,Técnico,1500000,2200000,2500000,10000000,Salario,No,1,No,No,Crédito de consumo,3500000,Viajes y turismo,150,No,9
20,Divorciado,Familiar,1,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,3000000,11000000,Salario,No,2,No,No,Crédito de consumo,4000000,Viajes y turismo,140,No,8
21,Soltero,Arrendada,2,Pregrado,2145,Contrato por obra o labor,1,Técnico,1700000,2300000,3500000,9000000,Salario,No,1,No,No,Crédito de consumo,5000000,Viajes y turismo,160,No,10
22,Viudo,Familiar,2,Bachiller,2145,Contrato temporal,1,Asistencial,2000000,2500000,4000000,12000000,Salario,No,2,No,No,Crédito de consumo,4500000,Viajes y turismo,130,No,7
23,Soltero,Arrendada,3,Educación básica,2145,Contrato de aprendizaje,0.6,Técnico,1400000,2000000,2800000,10500000,Salario,No,1,No,No,Crédito de consumo,3800000,Viajes y turismo,150,No,6
24,Divorciado,Familiar,2,Pregrado,2145,Contrato por obra o labor,1,Asistencial,1800000,2400000,3200000,11500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,120,No,9
25,Soltero,Arrendada,1,Bachiller,2145,Contrato temporal,1,Técnico,1600000,2200000,2700000,10000000,Salario,No,1,No,No,Crédito de consumo,3700000,Viajes y turismo,140,No,8
26,Viudo,Familiar,2,Educación básica,2145,Contrato de aprendizaje,0.6,Asistencial,1300000,1800000,2500000,9500000,Salario,No,2,No,No,Crédito de consumo,4200000,Viajes y turismo,110,No,7
